participant_id,age,sex,site
sub-NDARINV19BR9YHW,9.25,0,site16
sub-NDARINV19FYU534,10.08333333,0,site06
sub-NDARINV19GEFHUC,10.75,0,site12
sub-NDARINV19GP5HLJ,10.0,1,site16
sub-NDARINV19JV1ZX5,9.333333333,0,site19
sub-NDARINV19LRBB0U,9.25,0,site11
sub-NDARINV19P33RVR,9.083333333,1,site01
sub-NDARINV19UPJ1X0,10.58333333,1,site14
sub-NDARINV19WE0FYW,10.75,0,site07
sub-NDARINV19YE2JCZ,9.083333333,0,site13
sub-NDARINV19ZM2GTU,9.25,1,site16
sub-NDARINV1A1Y0V5X,9.5,0,site03
sub-NDARINV1A3NCEUP,10.16666667,1,site01
sub-NDARINV1A8C7PRA,9.75,1,site20
sub-NDARINV1A8NWWZG,9.333333333,0,site16
sub-NDARINV1AA2VG9C,10.91666667,0,site16
sub-NDARINV1ABMXKWV,9.5,1,site20
sub-NDARINV1ACWERC3,10.33333333,0,site16
sub-NDARINV1AFNKM8M,9.25,1,site06
sub-NDARINV1AJNN0V2,10.5,1,site08
sub-NDARINV1AKMLL9A,10.75,1,site03
sub-NDARINV1APPZYY8,9.0,0,site05
sub-NDARINV1APXJCX3,10.33333333,1,site04
sub-NDARINV1AURDG78,10.41666667,0,site13
sub-NDARINV1AYCA8E3,9.583333333,1,site17
sub-NDARINV1AYVNP3L,10.41666667,1,site04
sub-NDARINV1AYXT588,9.5,0,site06
sub-NDARINV1B4T30A9,10.66666667,1,site20
sub-NDARINV1B7G7LND,10.25,1,site03
sub-NDARINV1B9D3LNM,9.25,0,site18
sub-NDARINV1BBV62LH,10.91666667,0,site01
sub-NDARINV1BE1UD48,9.833333333,0,site16
sub-NDARINV1BGRYN2J,10.25,1,site10
sub-NDARINV1BHHLZ52,9.416666667,0,site18
sub-NDARINV1BN4RDAD,10.08333333,1,site06
sub-NDARINV1BPLGEZ5,9.5,0,site10
sub-NDARINV1BR989ED,9.083333333,0,site17
sub-NDARINV1BTYWJDX,9.166666667,0,site06
sub-NDARINV1BUXN6LH,9.916666667,0,site16
sub-NDARINV1BWHMRFY,10.33333333,0,site20
sub-NDARINV1BZ0TUT9,9.833333333,0,site05
sub-NDARINV1CC6HB4A,10.75,1,site10
sub-NDARINV1CCL4UAD,10.25,1,site16
sub-NDARINV1CGKKTM5,9.333333333,1,site04
sub-NDARINV1CKXVV32,10.66666667,0,site09
sub-NDARINV1CMWHGWK,9.833333333,0,site13
sub-NDARINV1CRC8UTU,10.5,1,site19
sub-NDARINV1CTLWW8V,10.91666667,1,site09
sub-NDARINV1CV6NNKT,9.666666667,1,site01
sub-NDARINV1CXXN3K0,9.083333333,0,site07
sub-NDARINV1CYTVBWT,10.33333333,0,site04
sub-NDARINV1D42VFML,10.25,1,site04
sub-NDARINV1D6G642B,10.75,1,site04
sub-NDARINV1D8KBZHP,9.916666667,1,site13
sub-NDARINV1D95ZF1L,9.083333333,1,site12
sub-NDARINV1DDX454E,9.166666667,1,site21
sub-NDARINV1DWXEPTR,10.33333333,0,site09
sub-NDARINV1DZ2VF5K,10.58333333,0,site20
sub-NDARINV1DZWFKCG,10.25,0,site04
sub-NDARINV1E2PBKXL,9.583333333,0,site12
